order_id,user_id,coin_id,coins,price,created_at
106,1,28,-0.026,15601,2021-02-15 02:20:52
107,1,49,-250,7.5,2021-02-14 13:43:35
108,1,23,13,38.25,2021-02-11 05:10:52
109,1,21,0.007,130000,2021-02-11 05:09:40
110,1,49,250,9.158,2021-02-11 05:01:58
111,1,49,-250,8.5,2021-02-11 00:06:50
112,1,19,0.0003,3409887,2021-02-10 03:28:09
113,1,47,-15.65,73.17,2021-02-10 03:27:06
114,1,24,0.129,13950,2021-02-10 03:20:16
115,1,49,-50,7.372,2021-02-10 03:18:53
116,1,49,-20,7.372,2021-02-10 03:18:53
117,1,49,-180,7.372,2021-02-10 03:18:53
118,1,30,155,3.2104,2021-02-09 03:38:12
119,1,23,28,34.54999999,2021-02-09 03:37:17
120,1,19,0.0001,3448172,2021-02-09 03:35:57
121,1,28,0.002,9493,2021-02-09 03:35:25
122,1,28,0.05,9493,2021-02-09 03:34:48
123,1,24,0.04,12493.9,2021-02-09 03:33:41
124,1,36,0.52,1894.59,2021-02-09 03:29:16
125,1,35,0.114,7642.64,2021-02-09 03:29:04
126,1,38,0.09,266.78,2021-02-09 03:28:58
127,1,38,2.65,266.78,2021-02-09 03:28:58
128,1,38,1,266.78,2021-02-09 03:28:58
129,1,35,0.016,7642.64,2021-02-09 03:28:48
130,1,19,0.0003,2800000,2021-02-05 16:43:20
131,1,24,0.1,11400,2021-02-05 16:42:21
132,1,21,-0.016,121296.2,2021-02-05 03:19:27
133,1,21,-0.001,121296.2,2021-02-05 03:17:38
134,1,21,-0.009,121296.2,2021-02-05 03:17:34
